date,Total Fans,Paid Total Fans
06/07/2025,75553,
06/08/2025,75544,
06/09/2025,75535,
06/10/2025,75534,
06/11/2025,75538,
06/12/2025,75539,
06/13/2025,75537,
06/14/2025,75541,
06/15/2025,75541,
06/16/2025,75540,
