date,id,text,last_checked,media,serviceLink,clicks,comments,engagement,engagement_rate,impressions,likes,reach,reactions,shares,type
06/14/2025 16:03:25,1646117315664111_1015107894167047,"⚔️ Bout 3 ⚔️ RIZIN MMA Rules – 66.0kg 🟥 #RaikiEndo @raiki11270916 🇯🇵 ーーー🆚ーーー 🟦 #ZhaXiBading 🇨🇳  ⏰ Watch on PPV! RIZIN TV: https://rizinff.tv",1751414400,,https://facebook.com/1646117315664111_1015107894167047,150,0,209,0.9934404411065691,21038,57,20724,59,0,video
06/13/2025 17:30:15,1646117315664111_1014391890905314,"#RIZIN_LANDMARK11 in SAPPORO ❄️ 📣 Weigh-in Results 💥 ⚔️ Bout 2 ⚔️ RIZIN Kickboxing Rules – 55.0kg limit 🟥 #Toshizo 🇯🇵【55.00kg】 🧍‍♂️ 166cm 💪 Reach: 164cm @TOSHIZOU007 ーーー🆚ーーー 🟦 #YuyaUzawa 🇯🇵【54.95kg】 🧍‍♂️ 166cm 💪 Reach: 158cm @abcdfefd 📅 June 14 (Sat) Doors open: 12:00 / Event starts: 14:00 Opening fight begins at 12:30 🏟 Makomanai Sekisui Heim Ice Arena https://jp.rizinff.com/_ct/17760081 ⏰ Watch on PPV! RIZIN TV: https://rizinff.tv",1750636800,,https://facebook.com/1646117315664111_1014391890905314,272,0,298,1.430834973832045,20827,26,19883,26,0,video
06/15/2025 12:15:16,1646117315664111_1015751137436056,"#RIZIN_LANDMARK11 in SAPPORO ❄️ When the fight gets serious—but not too serious 😎 Sina Karimian & Hidetaka “Kaiju killer” Arato with a little in-cage fun 🕺✌️ ⏰ Watch on PPV! RIZIN TV: rizin.tv",1751760000,,https://facebook.com/1646117315664111_1015751137436056,307,3,414,2.281494544252177,18146,92,18036,101,3,video
06/10/2025 13:29:16,1646117315664111_1012060911138412,"💥💥💥FIGHT WEEK!💥💥💥 #RIZIN_LANDMARK11 in SAPPORO❄️ ⑮ 🇦🇿 Vugar Karamov 🆚 Shuya Kimura 🇯🇵 ⑭ 🇯🇵 Yoshinori Horie 🆚 Yamato Nishikawa 🇯🇵 ⑬ 🇺🇿 Ilkhom Nozimov 🆚 Suguru Nii 🇯🇵 ⑪ 🇷🇺 Viktor Kolesnik 🆚 SASUKE 🇯🇵 ⑩ 🇷🇺 Aleksandr Soldatkin 🆚 Prince Aounallah 🇯🇵 ⑧ 🇮🇷 Sina Karimian 🆚 Hidetaka 'Kaiju Killer' Arato 🇯🇵 ⑤ 🇦🇿 Magerram Gasanzade 🆚 Tatsuya Ando 🇯🇵 …and more!! WATCH ON PPV 🔗 rizin.tv",1750118400,,https://facebook.com/1646117315664111_1012060911138412,645,1,735,5.291576673866091,13890,74,12474,78,11,image
06/14/2025 18:06:18,1646117315664111_1015171757493994,"🎉✨ Fight Result ✨🎉 #RIZIN_LANDMARK11 in SAPPORO ❄️ ⚔️ Bout 5 ⚔️ RIZIN MMA Rules – 61.0kg 🟥 #MagerramGasanzade 🇦🇿【LOSE】 ーーー🆚ーーー 🟦 #TatsuyaAndo / @kirinji90 🇯🇵【WIN】🏆 Winner by Submission (Rear Naked Choke) Round 1 – 3:33 ⏰ Watch on PPV! RIZIN TV: rizin.tv",1751414400,,https://facebook.com/1646117315664111_1015171757493994,357,0,409,3.0424756378784497,13443,47,12923,48,4,video
