date,last_checked,id,media,serviceLink,replies,engagements,engagement,engagement_rate,impressions,favorites,retweets,sent_at,url_clicks,quotes,user_profile_clicks,type,text
06/07/2025 20:32:00,1750896000,1931313184922628432,https://buffer-media-uploads.s3.amazonaws.com/6844232ee588f7f95a08368c/54baf9ab451be33be35c774716596413e6a925b2_9f3f98b84c6ce98635673485c325cf704142992c_twitter,https://twitter.com/RIZINTV_/status/1931313184922628432,2,2411,2411,3.1,78377,1620,130,1749295920,0,8,651,image,"#SuperRIZIN4 Midsummer Fight Festival👊 💥💥 Official Match Announced 💥💥 RIZIN MMA Rules: 3 rounds, 5 minutes | 66.0kg 🟥 Kleber Koike / @KoikeKleber 🇧🇷 6th RIZIN Featherweight Champion ーーー🆚ーーー 🟦 Mikuru Asakura / @Mikuruasakura_ 🇯🇵 📅 Sunday, July 27 – Doors: 11:00 / Start: 13:00 (JST) 🏟️ Saitama Super Arena 🔗 RIZIN.tv"
06/07/2025 20:25:11,1750896000,1931311470794420440,https://buffer-media-uploads.s3.amazonaws.com/68442196ecf8fd3efe068a85/f15f2ab5a1c7c1b9b24ed0ca8c65f6e4d9d26c63_c0bbb554029272e509586be8809eabddf10bdbde_twitter,https://twitter.com/RIZINTV_/status/1931311470794420440,0,1053,1053,3.1,34085,604,52,1749295511,0,14,383,image,"#SuperRIZIN4 Midsummer Fight Festival👊 💥💥 Official Match Announced 💥💥 RIZIN MMA Rules: 3 rounds, 5 minutes | 66.0kg 🟥 Karshyga Dautbek 🇰🇿 ーーー🆚ーーー 🟦 Kyoma Akimoto / @Kyoma_mma 🇯🇵 Super Kyoma Star 📅 Sunday, July 27 – Doors: 11:00 / Start: 13:00 (JST) 🏟️ Saitama Super Arena 🔗 RIZIN.tv"
06/14/2025 19:05:25,1751587200,1933828112539701252,https://buffer-media-uploads.s3.amazonaws.com/6631b420b5a4d15a9e0fe208/684d48ce0975f773de014e41/db79f6c7e40d0dda44b3478b33789b84.original_transcoded.mp4,https://twitter.com/RIZINTV_/status/1933828112539701252,0,99,99,0.3,33176,19,2,1749895525,0,1,77,video,"🎉✨ Fight Result ✨🎉 #RIZIN_LANDMARK11 in SAPPORO ❄️ ⚔️ Bout 8 ⚔️ RIZIN MMA Rules – 120.0kg 🟥 #SinaKarimian / @sinakarimian90 🇮🇷【WIN】🏆 ーーー🆚ーーー 🟦 #HidetakaKaijuKiller / @kaijukiller55 🇯🇵【LOSE】 Winner by Unanimous Decision (3-0) after 3 rounds ⏰ Watch on PPV! RIZIN TV: rizin.tv"
06/07/2025 20:23:14,1750896000,1931310980572573768,https://buffer-media-uploads.s3.amazonaws.com/6631b420b5a4d15a9e0fe208/684421158d9fec9b5007f77b/99e9c52f39fe8ec4ff3bda18e4e5b306.original.jpg,https://twitter.com/RIZINTV_/status/1931310980572573768,1,969,969,3.2,30550,343,54,1749295394,0,10,561,image,"#SuperRIZIN4 Midsummer Fight Festival👊 💥💥 Official Match Announced 💥💥 RIZIN MMA Rules: 3 rounds, 5 minutes | 71.0kg 🟥 Patricky Pitbull / @PatrickyPitbull 🇧🇷 Former Bellator Lightweight World Champion ーーー🆚ーーー 🟦 Shunta Nomura / @nomumma1011 🇯🇵 Current DEEP Lightweight Champion 📅 Sunday, July 27 – Doors: 11:00 / Start: 13:00 (JST) 🏟️ Saitama Super Arena 🔗 RIZIN.tv"
06/07/2025 12:00:37,1750896000,1931184491730497696,https://buffer-media-uploads.s3.amazonaws.com/6631b420b5a4d15a9e0fe208/6843a6f29829c019c90c5fc6/923f6370ea3d613bf049d564ae73169a.original.mp4,https://twitter.com/RIZINTV_/status/1931184491730497696,0,136,136,0.5,25497,64,7,1749265237,0,0,65,video,"✈️RIZIN returns to Hokkaido✈️ #RIZIN_LANDMARK11 in SAPPORO❄️ 🇦🇿 Vugar Karamov 🆚 Shuya Kimura 🇯🇵 🇯🇵 Yoshinori Horie 🆚 Yamato Nishikawa 🇯🇵 🇷🇺 Viktor Kolesnik 🆚 SASUKE 🇯🇵 🇺🇿 Ilkhom Nozimov 🆚 Suguru Nii 🇯🇵  🇷🇺 Aleksandr Soldatkin 🆚 Prince Aounallah 🇫🇷  🇦🇿 Magerram Gasanzade 🆚 Tatsuya Ando 🇯🇵 🇮🇷 Sina Karimian 🆚 Hidetaka Arato 🇯🇵 …and more!! WATCH ON PPV! 🔗 rizin.tv  🌎Global Start Times 🇺🇸 USA – 10:00 PM PT / 1:00 AM ET (June 14) 🇪🇺 EU – 7:00 🇦🇿 Azerbaijan – 9:00 AZT 🇺🇿 Uzbekistan – 10:00 UZT 🇰🇬🇰🇿 Kyrgyzstan – 11:00 KGT/ALMT 🇨🇳 China – 13:00 CST 🇦🇺🇳🇿15:00 AEST / 17:00 NZST"
