date,id,text,last_checked,media,serviceLink,clicks,comments,engagement,engagement_rate,impressions,likes,reach,reactions,shares,type
05/27/2025 16:01:28,1646117315664111_1001807742163729,"#RIZIN_WS_KOREA 🇰🇷 🔥🔥 Joint Open Workout 🔥🔥 🇯🇵 #KateLotus / @keito.ohy 💥💥 WATCH ON PPV 💥💥 🔗 http://rizin.tv 🌍 Global Start Times – RIZIN WS KOREA 🗓️ Saturday, May 31 (local time unless noted) 🇺🇸 USA 10:00 PM PT / 1:00 AM ET (May 31) 🇪🇺 EU 7:00 CEST 🇰🇷 Korea 14:00 KST 🇦🇺🇳🇿 15:00 AEST / 17:00 NZST",1749168000,,https://facebook.com/1646117315664111_1001807742163729,3121,5,3855,3.6082667215784645,106838,655,106635,714,15,video
05/31/2025 15:07:30,1646117315664111_1004691808541989,"TAKE A BOW YONG CHEOL KWON ‼️ He stops Kota Miura with ground and pound in round 1️⃣! [ LIVE on RIZIN.tv ]",1749686400,,https://facebook.com/1646117315664111_1004691808541989,5234,40,5600,8.687019111442046,64464,197,62394,282,44,video
05/31/2025 11:16:16,1646117315664111_1004576918553478,"🇰🇷 May 31 (Sat) | #RIZIN_WS_KOREA 🇰🇷 📣 Weigh-in Results 💥 ⚔️ Fight 8 ⚔️ RIZIN MMA Rules - 49.0kg 🟥 Yuri Shin / @yuri__94 🇰🇷【48.99kg】 🧍‍♂️168cm | 💪 Reach: 164cm ーーー🆚ーーー 🟦 Kate Lotus / @keito.ohy 🇯🇵【48.95kg】 🧍‍♂️164cm | 💪 Reach: 157cm 💥💥 WATCH ON PPV 💥💥 🔗 http://rizin.tv 🌍 Global Start Times – RIZIN WS KOREA 🗓️ Saturday, May 31 (local time unless noted) 🇺🇸 USA 10:00 PM PT / 1:00 AM ET (May 31) 🇪🇺 EU 7:00 CEST 🇰🇷 Korea 14:00 KST 🇦🇺🇳🇿 15:00 AEST / 17:00 NZST 🏟️Paradise City, Incheon, South Korea @pcitykorea / @paradisecity_japan",1749686400,,https://facebook.com/1646117315664111_1004576918553478,1495,3,1813,2.9097387173396676,62308,289,59875,311,4,video
05/26/2025 19:15:17,1646117315664111_1001178232226680,"🇰🇷 May 31 (Sat) – #RIZIN_WS_KOREA 🇰🇷 📝 Official #FIGHTORDER Announced 📝 🥊 🇰🇷 KOREA vs. RIZIN 🇯🇵 Showdown 🥊 ⑪ 🇰🇷 Ki Won Bin 🆚 Roberto Satoshi 🇧🇷 ⑩ 🇰🇷 Kim Soo Chul 🆚 Shoko Sato 🇯🇵 ⑨ 🇯🇵 Juri Ohara 🆚 Johnny Case 🇺🇸 ⑧ 🇰🇷 Shin Yuri 🆚 Kate Lotus 🇯🇵 …and more!! 💥💥 WATCH ON PPV 💥💥 🔗 http://rizin.tv 🌍 Global Start Times – RIZIN WS KOREA 🗓️ Saturday, May 31 (local time unless noted) 🇺🇸 USA 10:00 PM PT / 1:00 AM ET (May 31) 🇪🇺 EU 7:00 CEST 🇰🇷 Korea 14:00 KST 🇦🇺🇳🇿 15:00 AEST / 17:00 NZST",1748995200,,https://facebook.com/1646117315664111_1001178232226680,2359,12,2582,7.071066684924005,36515,135,35583,169,42,image
05/31/2025 17:33:15,1646117315664111_1004772705200566,"Kate Lotus brings Team Japan closer to even! 🇰🇷Team Korea 4️⃣- 3️⃣ to Team Japan 🇯🇵 [ LIVE on RIZIN.tv ]",1749772800,,https://facebook.com/1646117315664111_1004772705200566,1318,4,1649,5.785558908146797,28502,288,27457,321,6,video
