date,Total Fans,Paid Total Fans
05/24/2025,75486,
05/25/2025,75488,
05/26/2025,75486,
05/27/2025,75485,
05/28/2025,75507,
05/29/2025,2,
05/30/2025,75507,
05/31/2025,75542,
06/01/2025,75567,
06/02/2025,75569,
