date,Stories,Impressions
06/07/2025,10,47915
06/08/2025,0,0
06/09/2025,3,10476
06/10/2025,6,17070
06/11/2025,0,0
06/12/2025,0,0
06/13/2025,10,36670
06/14/2025,3,20133
06/15/2025,1,5127
06/16/2025,0,0
