date,Total Followers,Paid Total Followers
06/07/2025,21729,
06/08/2025,21819,
06/09/2025,21858,
06/10/2025,21893,
06/11/2025,21931,
06/12/2025,22004,
06/13/2025,22072,
06/14/2025,22222,
06/15/2025,22162,
06/16/2025,22294,
