date,Total Followers,Paid Total Followers
05/24/2025,20897,
05/25/2025,20927,
05/26/2025,20972,
05/27/2025,21023,
05/28/2025,21050,
05/29/2025,21143,
05/30/2025,21276,
05/31/2025,21311,
06/01/2025,21340,
06/02/2025,21394,
