date,last_checked,id,media,serviceLink,comments,engagement,engagement_rate,impressions,likes,reach,saves,type,text
05/26/2025 17:41:34,1750926700,18114890053486803,,https://www.instagram.com/p/DKHEYGiRh_p/,144,4172,2.8655617448880766,145591,3850,70710,164,carousel_album,"🤯 Who else saw this❔  Newly crowned RIZIN Featherweight Champion Razhabali Shaidulloev landed the exact same punch as the one shown on the official #RIZINOtokoMatsuri poster... 💥 Coincidence? Or destiny? #RIZIN #RIZINTV #RIZINOtokoMatsuri"
05/31/2025 17:33:27,1751303332,17861379258348702,,https://www.instagram.com/reel/DKT7Yr5KdDx/,7,1733,3.6779999151067533,47118,1646,27234,53,video,"Kate Lotus brings Team Japan closer to even! 🇰🇷Team Korea 4️⃣- 3️⃣ to Team Japan 🇯🇵 [ LIVE on RIZIN.tv ]"
05/31/2025 15:08:35,1751303331,18064898381099058,,https://www.instagram.com/reel/DKTqwu8tNCE/,48,1764,2.072344074905135,85121,1555,44204,96,video,"TAKE A BOW YONG CHEOL KWON ‼️ He stops Kota Miura with ground and pound in round 1️⃣! [ LIVE on RIZIN.tv ]"
05/26/2025 17:09:24,1750889159,18394245415112849,,https://www.instagram.com/p/DKHAsjlSrSa/,45,1323,2.1361104383628,61935,1243,29155,24,carousel_album,"💥𝙏𝙤𝙥 🔟 𝘼𝙡𝙡-𝙏𝙞𝙢𝙚 𝙁𝙖𝙨𝙩𝙚𝙨𝙩 𝙏𝙞𝙩𝙡𝙚 𝙁𝙞𝙜𝙝𝙩 𝙁𝙞𝙣𝙞𝙨𝙝𝙚𝙨 𝙞𝙣 𝙍𝙄𝙕𝙄𝙉 𝙃𝙞𝙨𝙩𝙤𝙧𝙮 💥  and Roberto Satoshi Souza owns THREE of them. ⏱️🔥 A true finisher, the lightweight king returns this weekend to take on Korean powerhouse Ki Won Bin at #RIZIN_WS_KOREA! Can he add another name to the highlight reel? 🎯 💥💥 WATCH ON PPV 💥💥 🔗 http://rizin.tv 🌍 Global Start Times – RIZIN WS KOREA 🗓️ Saturday, May 31 (local time unless noted) 🇺🇸 USA 10:00 PM PT / 1:00 AM ET (May 31) 🇪🇺 EU 7:00 CEST 🇰🇷 Korea 14:00 KST 🇦🇺🇳🇿 15:00 AEST / 17:00 NZST"
05/26/2025 17:55:16,1750926700,18506874814001227,,https://www.instagram.com/p/DKHF8JQvuYS/,24,1128,1.799502265330866,62684,1069,33019,10,image,"❄️ #RIZIN_LANDMARK11 in SAPPORO ❄️ ✨🔥 NEW OFFICIAL POSTER REVEALED 🔥✨ RIZIN returns to Sapporo. "From the fractured earth… who will rise?" 📅 June 14 (Sat) | Doors: 12:00 / Start: 14:00 (JST) 🏟 Makomanai Sekisui Heim Ice Arena 🔗 rizin.tv  #RIZIN #RIZINTV #RIZINLANDMARK11"
