date,Total Followers,Paid Total Followers
07/20/2025,23374,
07/21/2025,23513,
07/22/2025,23540,
07/23/2025,23563,
07/24/2025,23636,
07/25/2025,23693,
07/26/2025,24046,
07/27/2025,24277,
07/28/2025,24408,
07/29/2025,24551,
