date,last_checked,id,media,serviceLink,replies,engagements,engagement,engagement_rate,impressions,favorites,retweets,sent_at,url_clicks,quotes,user_profile_clicks,type,text
07/30/2025 07:00:48,1754352000,1950315596962291715,https://buffer-media-uploads.s3.amazonaws.com/6888f9436da08d17210112c7/2013c3d4b37d03404b133e7757521b894e39e017_a63f69027eee116618d5d944e3d7df979f098d8d_twitter,https://twitter.com/RIZINTV_/status/1950315596962291715,37,497,497,1.1,43434,286,18,1753826448,0,4,152,image,"🚨 FAN MATCHMAKING Who should Mikuru Asakura face next? Comment below👇 #SuperRIZIN4 #RIZIN #RIZINtv"
07/27/2025 19:31:29,1754352000,1949417351419478205,https://buffer-media-uploads.s3.amazonaws.com/6631b420b5a4d15a9e0fe208/6885ffab221ecec85b0887bc/d8cfe661a48081cf8d3cbb0e36984bcd.original_transcoded.mp4,https://twitter.com/RIZINTV_/status/1949417351419478205,5,1144,1144,3.1,36856,314,36,1753612289,63,7,719,video,"🎉 WINNER ANNOUNCEMENT 🎉 👊 SUPER RIZIN.4 – Saitama Super Arena 👊 RIZIN MMA Rules – 61.0kg 🟥 Tatsuya Ando 🇯🇵 WIN 🏆 ーーーVSーーー 🟦 Yang Ji Yong 🇰🇷 LOSE Result: 2R Submission 🎟 Watch the Main Card live on RIZIN.tv: 🔗 https://watch.rizin.tv/events/super-rizin-4?utm_source=ig&utm_medium=sns&utm_campaign=sr4&utm_content=story"
07/23/2025 19:00:21,1754352000,1947959962962907293,https://buffer-media-uploads.s3.amazonaws.com/6631b420b5a4d15a9e0fe208/6880a6cd05784dc21408b130/5a6507df6db2f78789e3913b5813043c.original.mp4,https://twitter.com/RIZINTV_/status/1947959962962907293,1,106,106,0.3,32613,61,3,1753264821,0,0,41,video,"💥💥💥 FIGHT WEEK! 💥💥💥 👊 #SuperRIZIN4 – Summer Brawl 👊 🇧🇷 Kleber Koike 🆚 Mikuru Asakura 🇯🇵 👑 Bantamweight Title: 🇯🇵 Naoki Inoue (c) 🆚 Ryuya Fukuda 🇯🇵 👑 Super Atomweight Title: 🇯🇵 Seika Izawa (c) 🆚 Yu Jin Shin 🇰🇷 🇧🇷 Patricky Pitbull 🆚 Shunta Nomura 🇯🇵 …and more!! 📅 Sunday, July 27 | Doors Open: 11:00 / Event Start: 13:00 🏟 Saitama Super Arena ▶️Watch only on #RIZINtv 🔗 www.RIZIN.tv"
07/30/2025 08:00:31,1754352000,1950330624847282388,https://buffer-media-uploads.s3.amazonaws.com/6888f95833677204c7018fbc/a57f442bc5d7dd967cfcb78d0df224e474a061b1_f4776fb5dddc1e96d76ea540b304d46140548437_twitter,https://twitter.com/RIZINTV_/status/1950330624847282388,29,316,316,1.3,23768,138,5,1753830031,0,2,142,image,"🚨 FAN MATCHMAKING Who should Kleber Koike face next? Comment below👇 #SuperRIZIN4 #RIZIN #RIZINtv"
07/27/2025 21:04:14,1754352000,1949440690397515856,https://buffer-media-uploads.s3.amazonaws.com/6631b420b5a4d15a9e0fe208/68861529eb9657dce204da72/b75dfecef74b7d698b72a264b58614fb.original_transcoded.mp4,https://twitter.com/RIZINTV_/status/1949440690397515856,1,166,166,1,17248,49,9,1753617854,14,2,91,video,"😱 That is a NASTY cut on Patricky Pitbull's eye...  🎟 Watch the #SuperRIZIN4 Main Card live on #RIZINtv: 🔗 https://watch.rizin.tv/events/super-rizin-4?utm_source=ig&utm_medium=sns&utm_campaign=sr4&utm_content=story"
