date,Total Followers,Paid Total Followers
07/20/2025,64112,
07/21/2025,64116,
07/22/2025,64123,
07/23/2025,64116,
07/24/2025,64115,
07/25/2025,64120,
07/26/2025,64112,
07/27/2025,64130,
07/28/2025,64139,
07/29/2025,64152,
