Format,Posts Count,Avg Impressions,Avg Reach,Avg Engagements,Avg Engagement Rate,Avg Link Clicks,Avg Follows Gained
Static,5,44474.2,,56.2,0.11800000000000002,,0.0
Video,6,35845.166666666664,,21.166666666666668,0.051666666666666666,,0.0
