Day of Week,Posts Count,Avg Impressions,Avg Reach,Avg Engagements,Avg Engagement Rate,Avg Link Clicks,Avg Follows Gained
Monday,9,282768.55555555556,268480.71428571426,2463.1111111111113,0.7222222222222222,14800.5,0.0
Tuesday,8,120771.5,65942.71428571429,1605.125,1.32,1502.0,0.0
Wednesday,4,98858.75,97361.5,978.0,0.59,3121.0,0.0
Thursday,2,33217.5,,6.5,0.02,,0.0
Friday,0,,,,,,
Saturday,3,36210.666666666664,39879.0,117.0,0.22,883.5,0.0
Sunday,13,65250.07692307692,48648.5,1142.2307692307693,1.2023076923076923,1278.6666666666667,0.0
