Day of Week,Posts Count,Avg Impressions,Avg Reach,Avg Engagements,Avg Engagement Rate,Avg Link Clicks,Avg Follows Gained
Monday,4,190574.75,187282.25,807.25,0.635,14800.5,0.0
Tuesday,2,25202.5,24028.5,156.5,0.63,1502.0,0.0
Wednesday,1,106838.0,106635.0,734.0,0.69,3121.0,0.0
Thursday,0,,,,,,
Friday,0,,,,,,
Saturday,2,41567.5,39879.0,172.0,0.315,883.5,0.0
Sunday,6,30516.333333333332,29839.833333333332,182.0,0.5766666666666667,1278.6666666666667,0.0
