Content Theme,Posts Count,Avg Impressions,Avg Reach,Avg Engagements,Avg Engagement Rate,Avg Link Clicks,Avg Follows Gained
,14,82090.0,80502.5,392.07142857142856,0.5692857142857143,5171.928571428572,0.0
FightOrder,1,36515.0,35583.0,223.0,0.61,2359.0,0.0
