Format,Posts Count,Avg Impressions,Avg Reach,Avg Engagements,Avg Engagement Rate,Avg Link Clicks,Avg Follows Gained
Carousel,3,120276.0,55340.0,2698.6666666666665,2.23,,2.3333333333333335
Reel,5,313339.6,217499.8,4383.2,2.444,,31.0
Static,16,124470.125,100625.44444444444,1596.9375,0.9093749999999999,1502.0,5.0
Video,21,69120.90476190476,85735.46153846153,266.0952380952381,0.36904761904761907,5520.153846153846,8.619047619047619
