Format,Posts Count,Avg Impressions,Avg Reach,Avg Engagements,Avg Engagement Rate,Avg Link Clicks,Avg Follows Gained
Static,2,25202.5,24028.5,156.5,0.63,1502.0,0.0
Video,13,87336.15384615384,85735.46153846153,415.3076923076923,0.5630769230769231,5520.153846153846,0.0
