Event,Platform,Post Date (JST),Time of Day (hour),Day of Week,Post URL,Format,Hashtags,Content Theme,Impressions,Reach,Engagements,Engagement Rate,Link Clicks,Follows Gained (estimated),Notes / Source file
Rizin 4,FB,07/27/2025,19,Sunday,https://facebook.com/1646117315664111_1048361720841664,Video,,,529944,524993,1620,0.31,47773,2,posts-20250720-to-20250729.csv
Rizin 4,FB,07/27/2025,21,Sunday,https://facebook.com/1646117315664111_1048449530832883,Video,#SuperRIZIN4 #SuperRIZIN4,,90172,87983,503,0.56,5673,0,posts-20250720-to-20250729.csv
Rizin 4,FB,07/20/2025,22,Sunday,https://facebook.com/1646117315664111_1043033981374438,Video,#SuperRIZIN4 #MikuruAsakura,,80869,77354,347,0.43,2896,129,posts-20250720-to-20250729.csv
Rizin 4,FB,07/27/2025,16,Sunday,https://facebook.com/1646117315664111_1048259520851884,Video,#SuperRIZIN4,,61314,58799,759,1.24,2860,1,posts-20250720-to-20250729.csv
Rizin 4,FB,07/26/2025,21,Saturday,https://facebook.com/1646117315664111_1047635097580993,Video,#SuperRIZIN4 #SuperRIZIN4 #RIZINTV,,37505,37505,177,0.47,306,0,posts-20250720-to-20250729.csv
Rizin 4,IG,07/27/2025,19,Sunday,https://www.instagram.com/reel/DMm6OrkOKQZ/,Reel,,,1094048,793418,10449,0.96,,10,posts-20250720-to-20250729.csv
Rizin 4,IG,07/27/2025,21,Sunday,https://www.instagram.com/reel/DMnLExFuexI/,Reel,#SuperRIZIN4 #SuperRIZIN4,,278395,183529,5871,2.11,,5,posts-20250720-to-20250729.csv
Rizin 4,IG,07/29/2025,14,Tuesday,https://www.instagram.com/p/DMrd79guK8-/,Static,#RIZIN51 #RIZINtv,,449285,214503,3278,0.73,,13,posts-20250720-to-20250729.csv
Rizin 4,IG,07/22/2025,18,Tuesday,https://www.instagram.com/p/DMZ6633undP/,Static,#SuperRIZIN4 #RIZIN #RIZINtv,,221395,88088,3089,1.4,,7,posts-20250720-to-20250729.csv
Rizin 4,IG,07/21/2025,12,Monday,https://www.instagram.com/p/DMWvyNvONde/,Static,#SuperRIZIN4,,356071,153289,2568,0.72,,4,posts-20250720-to-20250729.csv
Rizin 4,X,07/30/2025,7,Wednesday,https://twitter.com/RIZINTV_/status/1950315596962291715,Static,#SuperRIZIN4 #RIZIN #RIZINtv,,43434,,55,0.13,,0,posts-20250720-to-20250729.csv
Rizin 4,X,07/27/2025,19,Sunday,https://twitter.com/RIZINTV_/status/1949417351419478205,Video,,,36856,,41,0.11,,0,posts-20250720-to-20250729.csv
Rizin 4,X,07/23/2025,19,Wednesday,https://twitter.com/RIZINTV_/status/1947959962962907293,Video,#SuperRIZIN4 #RIZINtv,,32613,,4,0.01,,0,posts-20250720-to-20250729.csv
Rizin 4,X,07/30/2025,8,Wednesday,https://twitter.com/RIZINTV_/status/1950330624847282388,Static,#SuperRIZIN4 #RIZIN #RIZINtv,,23768,,34,0.14,,0,posts-20250720-to-20250729.csv
Rizin 4,X,07/27/2025,21,Sunday,https://twitter.com/RIZINTV_/status/1949440690397515856,Video,#SuperRIZIN4 #RIZINtv,,17248,,10,0.06,,0,posts-20250720-to-20250729.csv
