Day of Week,Posts Count,Avg Impressions,Avg Reach,Avg Engagements,Avg Engagement Rate,Avg Link Clicks,Avg Follows Gained
Monday,3,576171.3333333334,376745.3333333333,6296.0,1.2633333333333334,,0.0
Tuesday,5,174559.4,82708.4,2495.4,1.8359999999999999,,0.0
Wednesday,1,221395.0,88088.0,3089.0,1.4,,0.0
Thursday,0,,,,,,
Friday,0,,,,,,
Saturday,0,,,,,,
Sunday,4,120979.75,76861.5,3390.0,2.975,,0.0
