Platform,Day of Week,JST Hour,posts,med_eng_rate,mean_impr
X,Monday,1,0,,
X,Monday,2,0,,
X,Monday,3,0,,
X,Monday,5,0,,
X,Monday,7,0,,
X,Monday,16,0,,
X,Monday,17,0,,
X,Monday,20,0,,
X,Monday,21,0,,
X,Monday,22,0,,
X,Monday,23,0,,
X,Tuesday,0,0,,
X,Tuesday,1,0,,
X,Tuesday,3,0,,
X,Tuesday,4,0,,
X,Tuesday,5,0,,
X,Tuesday,6,0,,
X,Tuesday,7,0,,
X,Tuesday,16,0,,
X,Tuesday,17,0,,
X,Tuesday,20,0,,
X,Tuesday,21,0,,
X,Tuesday,22,0,,
X,Tuesday,23,0,,
X,Wednesday,0,0,,
X,Wednesday,1,0,,
X,Wednesday,2,0,,
X,Wednesday,3,0,,
X,Wednesday,4,0,,
X,Wednesday,5,0,,
X,Wednesday,6,0,,
X,Wednesday,7,0,,
X,Wednesday,20,0,,
X,Wednesday,21,0,,
X,Wednesday,22,0,,
X,Wednesday,23,0,,
X,Thursday,0,0,,
X,Thursday,1,0,,
X,Thursday,2,0,,
X,Thursday,5,0,,
X,Thursday,6,0,,
X,Thursday,7,0,,
X,Thursday,16,0,,
X,Thursday,17,0,,
X,Thursday,20,0,,
X,Thursday,21,0,,
X,Thursday,22,0,,
X,Thursday,23,0,,
X,Friday,0,0,,
X,Friday,1,0,,
X,Friday,2,0,,
X,Friday,3,0,,
X,Friday,4,0,,
X,Friday,5,0,,
X,Friday,6,0,,
X,Friday,7,0,,
X,Friday,16,0,,
X,Friday,17,0,,
X,Friday,20,0,,
X,Friday,21,0,,
X,Friday,22,0,,
X,Friday,23,0,,
X,Saturday,0,0,,
X,Saturday,1,0,,
X,Saturday,2,0,,
X,Saturday,3,0,,
X,Saturday,4,0,,
X,Saturday,5,0,,
X,Saturday,6,0,,
X,Saturday,7,0,,
X,Saturday,16,0,,
X,Saturday,17,0,,
X,Saturday,20,0,,
X,Saturday,22,0,,
X,Saturday,23,0,,
X,Sunday,1,0,,
X,Sunday,2,0,,
X,Sunday,3,0,,
X,Sunday,6,0,,
X,Sunday,7,0,,
X,Sunday,16,0,,
X,Sunday,17,0,,
X,Sunday,20,0,,
X,Sunday,21,0,,
X,Sunday,22,0,,
X,Sunday,23,0,,
