date,Total Followers,Paid Total Followers
05/24/2025,63659,
05/25/2025,63662,
05/26/2025,63670,
05/27/2025,63673,
05/28/2025,63665,
05/29/2025,63683,
05/30/2025,63687,
05/31/2025,63872,
06/01/2025,63880,
06/02/2025,63885,
